JPM,WFC,BAC,C,GS,USB,MS,KEY,PNC,COF,AXP,PRU,SCHW,BBT,STI,KR,PFE,XOM,WMT,DAL,CSCO,HCP,EQIX,DUK,NFLX,GE,APA,F,REGN,CMS
38.990002,31.209999,32.630001,191.100006,165.320007,32.369999,41.299999,12.6,73.440002,44.919998,40.630001,77.440002,24.18,30.82,43.560001,13.9,19.17,77.32,59.650002,9.17,23.75,32.896175,80.949997,52.02,4.405715,28.530001,106.339996,4.51,20.58,13.61
39.709999,31.01,32.959999,196.100006,167.610001,32.950001,42.169998,12.71,74.120003,45.66,40.91,79.5,24.209999,31.17,45,13.895,19.200001,78.019997,59.790001,9.11,23.309999,32.777779,80.150002,51.360001,4.415714,28.57,107.480003,4.57,21.799999,13.45
37.91,29.67,30.6,183,160.899994,31.65,40.34,11.92,72.75,43.330002,38.75,76.959999,23.559999,30.030001,43.560001,13.625,18.67,76.139999,59.779999,8.96,22.280001,31.457195,77.5,51.869999,4.267143,27.700001,110.029999,4.39,20.379999,13.47
39.599998,31.200001,32.23,190.699997,163.240005,32.740002,41.360001,12.97,74.290001,44.709999,39.400002,78.739998,24.09,31.82,45.419998,13.435,18.51,75.620003,60.740002,8.81,22.26,31.238615,77.489998,51.93,4.237143,27.879999,111.43,4.41,19.07,13.34
41.549999,33.560001,34.73,203.199997,169.729996,33.939999,43.27,13.74,76.779999,48.73,40.52,84.919998,25.219999,34.27,50.93,13.65,19.139999,76.769997,62,8.59,23.370001,32.012749,77.510002,53.610001,4.307143,29.09,109.769997,4.55,18.9,13.75
39.470001,31.17,32.52,188.800003,161.669998,32.060001,40.400002,13.15,72.849998,45.5,38.240002,79.800003,23.49,31.99,47.580002,13.975,18.24,73.260002,61.130001,8.23,22.969999,30.819672,74.080002,54.299999,4.105714,28.120001,100.550003,4.4,18.52,13.42
39.400002,31.700001,32.400002,186.800003,157.589996,31.85,38.919998,12.56,70.860001,45.580002,38.16,79.779999,23.790001,31.43,45.25,13.99,18.200001,75.25,62.02,7.87,22.99,31.2204,72.669998,53.610001,4.107143,28.09,105.360001,4.47,19.43,13.55
41.650002,33.849998,33.060001,186.100006,157.029999,33.639999,38.709999,12.8,73.019997,46.34,38.759998,82.260002,24.5,32.849998,45.950001,14.1,18.389999,75.559998,63.169998,8.09,23.049999,31.848816,76.089996,54.66,4.118571,28.16,109.010002,4.68,20.58,13.59
41.169998,34.290001,33.740002,179.600006,154.210007,33.830002,37.23,13.37,72.970001,45.939999,38.950001,80.589996,23.969999,34.049999,47.310001,13.945,18.620001,77.5,62.41,8.13,23.459999,32.12204,76.93,54.900002,4.207143,26.75,112.389999,4.91,20.709999,13.79
37,31,26.549999,152.399994,135.5,33.02,32.189999,12.39,70.419998,44.700001,35.48,72.540001,22.700001,32.450001,45.900002,13.295,18.049999,73.25,61.630001,8.05,22.379999,30.528233,72.25,53.580002,4.015714,24.6,104.389999,4.74,20.450001,13.24
40.740002,34.93,29.549999,157.5,133.009995,35.27,28.700001,12.63,76.779999,49.040001,36.07,79.18,25.48,36.07,48.970001,13.995,17.809999,76.43,62.139999,9.94,22.799999,32.613842,74.870003,54.119999,4.065714,25.059999,108.839996,5.07,21.639999,12.69
35.77,33.43,27.200001,140.300003,114.5,33.34,21.75,12.02,71.959999,46.34,33.040001,73.959999,22.780001,35.439999,47.630001,13.45,17.17,75.279999,59.639999,9,21.799999,31.202187,72.650002,52.139999,4.122857,23.389999,106.580002,4.94,20.879999,12.09
40.299999,37,30.58,166.5,108,36.77,22.549999,13.19,79,54,37.720001,83.989998,23.9,39.5,55.049999,13.41,17.99,77.75,61.48,9.45,22.799999,37.568306,76.650002,55.77,4.434286,24.790001,113.190002,5.28,22.98,12.42
47.049999,39.799999,37.48,206.5,129.800003,37.990002,27.209999,14.88,81.209999,56.049999,40.400002,86.25,25.25,41.139999,59.200001,13.52,18.549999,79.610001,59.700001,9.67,24.290001,36.548271,84.610001,53.91,4.562857,26.620001,121.150002,5.29,23.07,12.9
40.799999,35.18,34.150002,200.100006,120.779999,35,27.09,13.5,75.599998,54.450001,37.290001,77.760002,22.209999,39.23,53.880001,13.36,18.07,78.879997,58.889999,8.7,23.110001,33.069218,79.940002,53.91,4.53,26.15,116.129997,4.95,21.709999,12.74
40.560001,34.169998,33.299999,199.899994,125.050003,34.009998,28,13.12,71.68,53.720001,38.279999,74.720001,22.6,40.200001,51.169998,13.31,18.01,77.690002,58.400002,8.85,22.73,32.987251,76.459999,53.009998,4.504286,24.950001,113.410004,4.86,21.1,12.63
40.5,34.27,33.07,189.600006,133,33.849998,24.790001,13.25,72.809998,52.490002,37.5,73.379997,22.450001,38.540001,50.330002,13.175,17.99,78.029999,58.919998,8.03,22.799999,33.087433,74.5,53.549999,4.538571,24.59,112.589996,5.03,20.969999,12.6
43.459999,34.119999,34.369999,194.100006,135.5,35.310001,27.1,14,72.300003,49.799999,37.830002,74.07,23.57,39.25,49.75,13.44,18.639999,80.669998,60.119999,8.06,23.48,34.043716,76.370003,53.91,4.71,25.68,114.730003,4.98,21.459999,12.74
48.240002,37.310001,36.700001,201.5,137.990005,36.200001,24.75,14.7,75.5,54.549999,39.5,73.519997,24.32,40.450001,50.48,13.925,18.66,80.650002,60.709999,7.95,23.82,35.947178,73.480003,54.09,4.695714,25.25,109.879997,4.81,22.709999,12.92
41,33.25,30.25,177.5,120.699997,32.75,20.99,9.8,68,44,32.549999,64.75,21.73,31,38.75,13.415,17.65,74.059998,58.450001,7.33,21.790001,33.843353,65.709999,52.830002,4.514286,23.1,98.870003,4.17,21.879999,12.11
46.700001,37.529999,35,205.100006,128,36.02,23,11.94,74.699997,51,35.43,72,26,37.799999,44.990002,13.74,18.440001,77.660004,59.889999,7.45,22.559999,36.548271,69.459999,52.290001,4.411428,25.5,104.279999,5.2,21.83,12.47
49.630001,36.700001,38.130001,230,134.5,36.68,24.42,13.73,77.400002,51.419998,35.34,64.800003,24.370001,39.34,49.049999,13.78,18.940001,78.580002,59.66,8.55,21.950001,35.510017,67.589996,53.43,4.291429,24.5,100.150002,4.55,22.82,12.58
49.849998,35.16,36.369999,225,131.539993,36.310001,23.209999,13.21,77.68,46.779999,32.139999,57.650002,22.77,37.549999,51.169998,13.89,18.790001,77.5,58.849998,7.91,21.200001,34.608379,65.290001,52.619999,4.185714,22.15,91.260002,4.35,21.360001,12.2
45.900002,34.560001,34.48,183.5,128,35.060001,23.92,12.55,74.150002,44.900002,30.870001,55.869999,22.49,36.169998,54.619999,13.6,19,77.940002,59.73,7.86,21.25,32.4408,61.98,52.080002,4.138571,21.57,90.480003,4.05,20.959999,11.95
44,33.639999,32.220001,174.100006,124,34.799999,23.5,11.79,75.400002,41.689999,30.07,52.200001,20.9,35.610001,49.75,13.26,18.940001,77.32,57.900002,7.24,20.459999,30.737705,57.490002,51.330002,3.784286,21.379999,86.459999,3.69,19.84,10.96
39.32,30.6,23.77,151.5,115,31.799999,17.65,10.61,69.300003,37.560001,28.25,46.509998,19.459999,33.889999,45.900002,12.88,17.65,76.07,54.84,5.71,18.84,28.706739,54.23,50.91,3.187143,20.299999,80.099998,2.92,18.92,10.15
39.299999,31.9,22.1,144,113,30.83,16.799999,9,67.75,35.790001,27.120001,43.290001,19.18,33.009998,41.75,12.44,17.129999,77,54.549999,5.64,18.34,27.595629,56.939999,50.790001,3.248571,20.65,80.449997,2.66,18.940001,9.71
36.68,27.25,19.629999,129.300003,101.349998,28.93,12.45,6.42,59.849998,33.41,24,33.27,18.25,28.25,34.75,12.04,15.67,68,51.389999,5.66,17.190001,25.418943,55,45.450001,3.277143,19.01,71.800003,2.08,16.870001,9.16
41.639999,28.309999,20.870001,141.100006,88.800003,30.360001,9.68,6.79,68,35.540001,23.15,36.130001,20.200001,30.459999,36.400002,11.89,15.14,62.360001,50.950001,6.03,17.23,29.453552,54.580002,43.290001,3.47,21.5,66.800003,1.99,17.139999,9.09
41.990002,30.4,22.790001,157.5,111,31.25,18.1,7.76,68.349998,39.740002,27.299999,49.950001,23.33,31.65,36.82,12.685,16.68,73.080002,54.5,6.8,19.27,30.564663,61.709999,49.049999,3.628572,21,81.040001,2.39,19.59,10.01
40.709999,33.52,26.530001,186.199997,122.900002,31.459999,21.940001,11.97,63.040001,44.470001,28.190001,54.099998,20.969999,34.400002,44.66,12.835,17.129999,72.459999,54.439999,7.35,18.540001,29.408014,58.720001,47.16,3.434286,20.85,79.839996,2.45,19.25,10
38.490002,33.349998,23.82,162.300003,113.150002,30.129999,18.129999,10.41,61.5,37.759998,24.41,46.029999,19.940001,32.16,44,12.28,16.27,62.349998,50.049999,7.44,16.57,25.819672,53.68,44.43,3.215714,19.25,65.279999,2.3,17.110001,9.17
40.490002,33.900002,24.25,159,112.400002,30.870001,18.690001,10.55,61.400002,38.700001,23.639999,41.25,20.870001,33.259998,44.630001,13.145,16.969999,69.449997,54.619999,8.84,17.75,27.704918,53.959999,46.59,3.35,19.889999,75.660004,2.27,19.290001,10.15
39.330002,32.060001,23.24,148.800003,114.300003,30.549999,19.24,10.08,57.939999,39.919998,23.33,41.779999,21,33.529999,41.880001,12.615,16.91,68.040001,53.77,9.19,17.91,27.459017,56.709999,45.450001,3.328571,19.629999,73.879997,2.43,18.75,10.14
40.66,32.23,24.4,150.899994,121.5,31.120001,19.77,9.74,59.66,40.279999,24.35,41.150002,20.58,33.599998,41.82,13.085,17.34,74.989998,54.43,9.41,18.959999,28.451731,61.450001,50.040001,3.4,20.139999,81.389999,2.33,19.4,11.13
39.740002,32.639999,23.969999,141.800003,121.349998,30.200001,20.200001,10.95,58.990002,38.880001,26.389999,37.959999,19.82,32.720001,41.630001,13.115,17.34,71.5,53.669998,9.76,17.860001,28.196722,58.75,47.099998,2.978571,20.35,79.139999,2.17,19.25,10.63
37.169998,31.299999,22.66,133.199997,115.059998,28.110001,19.33,10.75,55.619999,36.400002,25.02,33.75,17.99,31.049999,40.130001,13.415,16.74,64.57,52.27,9.93,17.41,25.965391,53.830002,46.349998,2.957143,18.959999,69.489998,2.1,18.690001,10.12
37.849998,31.33,23,131.100006,108.580002,28.68,18.08,10.07,56.880001,35.709999,24.530001,32.450001,17.25,30.209999,36.200001,13.48,17.1,70.389999,52.759998,8.8,17.24,26.885246,53,49.200001,2.97,18.799999,73.330002,2,17.700001,10.21
35.43,30.91,21.07,121.400002,100.400002,29.450001,16.52,10.12,58.880001,35.299999,24.049999,34.459999,16.290001,32.25,35.110001,13.195,16.57,69.040001,51.400002,8.31,16.309999,24.845173,53,46.889999,2.707143,17.83,69.699997,2.01,16.15,10.05
34,30.83,20.530001,117.300003,92.879997,28.82,13.73,9.92,58.630001,34.400002,23.08,32.25,15.53,32.200001,35.34,12.745,16.389999,66.089996,49.669998,7.66,16.09,23.825136,51.669998,47.16,2.562857,17.73,64.360001,2.03,15.46,9.67
37.599998,34.459999,23.02,134.100006,93.57,30.82,15.2,11.86,65.440002,39.900002,25.469999,36.5,17.700001,35.990002,39.939999,13.37,17.82,74.860001,55.169998,8.16,18.309999,27.295082,56.91,50.040001,2.938571,19.49,71.5,2.15,16.75,10.27
35.709999,32.110001,22.32,129.100006,97.660004,29.030001,14.76,12.15,62.82,37.849998,25.209999,35.25,17.450001,33.959999,38.560001,13.25,17.190001,74.650002,55.02,7.99,17.870001,26.748634,59.610001,48.720001,3.108572,19.200001,74.809998,2.16,17.43,10.17
37.619999,31.84,22.780001,131.100006,91.110001,28.799999,16.09,12.3,64.470001,38.119999,26.059999,28.870001,18.540001,34.34,37.900002,13.735,17.860001,75.050003,54.75,9.55,17.790001,27.267759,62.650002,50.490002,3.254286,19.35,78.949997,2.28,18.139999,10.54
41.25,34.05,24.17,136.5,92.5,29.81,17.47,12.41,66.67,39.12,27.5,30,19.12,35.85,40.14,13.73,17.71,74.12,55.81,10.98,17.77,27.25,62.42,49.14,3.54,19.51,82.33,2.19,19.3,10.25